max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_r2,trees
4,0.005,0.7,0.8,10,9.460628509521484,9.48820686340332,0.37150728702545166,999
4,0.005,0.8,0.6,1,9.454145431518555,9.516304969787598,0.3699284791946411,999
4,0.005,0.8,0.6,3,9.451375961303711,9.514713287353516,0.3701673746109009,999
4,0.005,0.8,0.6,5,9.455924034118652,9.512056350708008,0.370029091835022,999
4,0.005,0.8,0.6,10,9.451480865478516,9.498876571655273,0.3709142208099365,999
4,0.005,0.8,0.7,1,9.457314491271973,9.518559455871582,0.369054913520813,997
4,0.005,0.8,0.7,3,9.456982612609863,9.521346092224121,0.36871522665023804,999
4,0.005,0.8,0.7,5,9.461259841918945,9.520546913146973,0.36855870485305786,999
4,0.005,0.8,0.7,10,9.457514762878418,9.498063087463379,0.3706568479537964,999
4,0.005,0.8,0.8,1,9.4609956741333,9.497392654418945,0.3700845241546631,992
4,0.005,0.8,0.8,3,9.463175773620605,9.498234748840332,0.37003982067108154,990
4,0.005,0.8,0.8,5,9.45302677154541,9.499993324279785,0.3698076605796814,990
4,0.005,0.8,0.8,10,9.449155807495117,9.491960525512695,0.37086135149002075,995
4,0.01,0.6,0.6,1,9.446429252624512,9.527413368225098,0.36921900510787964,601
4,0.01,0.6,0.6,3,9.437828063964844,9.515101432800293,0.3708465099334717,601
4,0.01,0.6,0.6,5,9.4498291015625,9.511301040649414,0.37024033069610596,601
4,0.01,0.6,0.6,10,9.44831657409668,9.497658729553223,0.3718786835670471,601
4,0.01,0.6,0.7,1,9.434286117553711,9.51941967010498,0.36975282430648804,626
4,0.01,0.6,0.7,3,9.435701370239258,9.513805389404297,0.3698146939277649,600
4,0.01,0.6,0.7,5,9.426182746887207,9.504178047180176,0.36961227655410767,678
4,0.01,0.6,0.7,10,9.45479965209961,9.491883277893066,0.3714243769645691,576
