GAME_ID,HOME_TEAM_ID,HOME_REST_DAYS,HOME_IS_B2B,HOME_GAMES_IN_LAST_7,HOME_WIN_STREAK,HOME_GAME_NUMBER,HOME_CONSECUTIVE_AWAY,HOME_HOME_WIN_PCT,HOME_AWAY_WIN_PCT,HOME_OVERALL_WIN_PCT,AWAY_TEAM_ID,AWAY_REST_DAYS,AWAY_IS_B2B,AWAY_GAMES_IN_LAST_7,AWAY_WIN_STREAK,AWAY_GAME_NUMBER,AWAY_CONSECUTIVE_AWAY,AWAY_HOME_WIN_PCT,AWAY_AWAY_WIN_PCT,AWAY_OVERALL_WIN_PCT,REST_ADVANTAGE,DIFF_WIN_STREAK,DIFF_GAMES_IN_LAST_7,DIFF_GAME_NUMBER,DIFF_OVERALL_WIN_PCT,HOME_ADV,SEASON,POINT_DIFF
21601106,1610612737,2,0,3,-7,74,0,0.5135135135135135,0.5,0.5068493150684932,1610612756,2,0,3,-8,75,6,0.3611111111111111,0.23684210526315788,0.2972972972972973,0,1,0,-1,0.20955201777119586,1.0,2016-17,4
21601177,1610612737,4,0,2,-2,78,0,0.5263157894736842,0.48717948717948717,0.5064935064935064,1610612738,1,1,3,-1,79,1,0.717948717948718,0.5641025641025641,0.6410256410256411,3,-1,-1,-1,-0.13453213453213464,1.0,2016-17,7
21601197,1610612737,2,0,2,2,80,0,0.5384615384615384,0.5,0.5189873417721519,1610612739,2,0,3,-1,80,1,0.775,0.5128205128205128,0.6455696202531646,0,3,-1,0,-0.12658227848101267,1.0,2016-17,1
21601212,1610612737,2,0,3,3,81,0,0.55,0.5,0.525,1610612766,1,1,3,-4,82,2,0.5365853658536586,0.35,0.4444444444444444,1,7,0,-1,0.0805555555555556,1.0,2016-17,27
21700072,1610612737,1,1,3,-4,6,0,0.5,0.2,0.2,1610612743,2,0,3,-2,5,2,0.5,0.0,0.25,-1,-2,0,1,-0.04999999999999999,1.0,2017-18,-5
21700085,1610612737,2,0,3,-5,7,0,0.0,0.2,0.16666666666666666,1610612749,3,0,2,-1,6,1,0.5,1.0,0.6,-1,-4,1,1,-0.43333333333333335,1.0,2017-18,-11
21700123,1610612737,2,0,2,-7,9,0,0.0,0.16666666666666666,0.125,1610612745,2,0,3,1,10,2,0.3333333333333333,0.8333333333333334,0.6666666666666666,0,-8,-1,-1,-0.5416666666666666,1.0,2017-18,-15
21700146,1610612737,1,1,3,1,11,0,0.0,0.2857142857142857,0.2,1610612738,1,1,3,8,11,3,0.75,0.8333333333333334,0.8,0,-7,0,0,-0.6000000000000001,1.0,2017-18,-3
21700204,1610612737,2,0,3,-4,15,0,0.0,0.2,0.14285714285714285,1610612758,2,0,3,-2,14,3,0.4,0.125,0.23076923076923078,0,-2,0,1,-0.08791208791208793,1.0,2017-18,46
21700230,1610612737,3,0,2,1,16,0,0.2,0.2,0.2,1610612738,2,0,3,14,17,1,0.875,0.875,0.875,1,-13,-1,-1,-0.675,1.0,2017-18,-11
